id;date;author;target;description;attack;target_class;attack_class;country;link;author_report;date_report;views
53;12/08/2019;Cloud Atlas AKA Inception;International economics and aerospace industries;Researchers from Kaspersky discover a new wave of attacks of the Cloud Atlas threat actor, using polymorphic malware and targeting entities in Russia, Portugal, Romania, Turkey, Ukraine, and other countries.;Targeted Attack;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/curious-orca-bec-scammers-use-email-probes-to-validate-targets/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
54;12/08/2019;?;Victims within the government of the People’s Republic of China;The Anomali Threat Research Team discovers a new phishing attack leveraging spoof sites that appear to be designed to steal email credentials from victims within the government of the People’s Republic of China. ;Account Hijacking;Not Found;Not Found;CN;https://www.bleepingcomputer.com/news/security/curious-orca-bec-scammers-use-email-probes-to-validate-targets/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
55;13/08/2019;?;Czech Foreign Ministry;According to a parliamentary committee, a foreign country state is believed to be behind a cyberattack on the Czech Foreign Ministry.;Targeted Attack;Not Found;Not Found;CZ;https://www.bleepingcomputer.com/news/security/curious-orca-bec-scammers-use-email-probes-to-validate-targets/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
56;13/08/2019;?;Choice Hotels;Hackers claim to have stolen 700,000 guest records belonging to Choice Hotels, one of the largest hotel chains in the world. The data was left exposed in an unsecured MongoDB.;Misconfigurations;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/curious-orca-bec-scammers-use-email-probes-to-validate-targets/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
57;13/08/2019;?;Android Users;Researchers from ThreatFabric discover Cerberus, a new banking trojan for Android relying on the accelerometer sensor to delay its running on the system and thus evade detection.;Malware;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/curious-orca-bec-scammers-use-email-probes-to-validate-targets/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
58;13/08/2019;?;Vulnerable Routers;In the space of two weeks, starting from July 22, researchers from Trend Micro discover three new variants of the botnets Neko, Mirai and Bashlite, able to launch DDoS Attacks.;Multiple Vulnerabilities;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/curious-orca-bec-scammers-use-email-probes-to-validate-targets/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
59;13/08/2019;?;Multiple entities from the North American hotel industry;Researchers from Qihoo 360 Security Center discover a new malspam campaign targeting the financial staff of multiple entities from the North American hotel industry, using malicious attachments to drop the NetWiredRC RAT.;Malicious Spam;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/curious-orca-bec-scammers-use-email-probes-to-validate-targets/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
60;13/08/2019;Curious Orca;Multiple Organizations;Researchers from Agari reveal the details of Curious Orca, a BEC scammer group from Nigeria conducting manual target validation to verify target information before launching their BEC attacks.;Account Hijacking;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/curious-orca-bec-scammers-use-email-probes-to-validate-targets/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
61;13/08/2019;Raidforums;Cracked.to;Hackers from Raidforums breach the site of rival hacking forum Cracked.to and spill data for more than 321,000 of its members. The breach occurred in July.;Unknown;Not Found;Not Found;N/A;https://securityaffairs.co/wordpress/90020/malware/danabot-banking-trojan-hit-germany.html;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
62;13/08/2019;?;Indian Army;The Indian Army detects a cybersecurity incident involving the computer of a senior office infected with malware.;Malware;Not Found;Not Found;IN;https://securityaffairs.co/wordpress/90020/malware/danabot-banking-trojan-hit-germany.html;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
63;13/08/2019;?;Bayview Dental ;Bayview Dental is hit by an unspecified cyber attack. The attack was discovered on July 4.;Unknown;Not Found;Not Found;US;https://securityaffairs.co/wordpress/90020/malware/danabot-banking-trojan-hit-germany.html;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
64;14/08/2019;?;Hy-Vee;Supermarket chain Hy-Vee publishes a warning to customers, after staff discovered a security breach on some of its point-of-sale (PoS) systems.;PoS Malware;Not Found;Not Found;US;https://securityaffairs.co/wordpress/90020/malware/danabot-banking-trojan-hit-germany.html;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
65;14/08/2019;Paige A. Thompson;30 undisclosed companies;Paige A. Thompson, the hacker accused of breaching US bank Capital One, is also believed to have stolen data from more than 30 other companies, according to new court documents.;Misconfigurations;Not Found;Not Found;>1;https://securityaffairs.co/wordpress/90020/malware/danabot-banking-trojan-hit-germany.html;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
66;14/08/2019;?;Targets in the Balkans;Researchers from ESET discover an ongoing campaign in the Balkans spreading two tools having a similar purpose: a backdoor and a remote access trojan we named, respectively, BalkanDoor and BalkanRAT.;Targeted Attack;Not Found;Not Found;>1;https://securityaffairs.co/wordpress/90020/malware/danabot-banking-trojan-hit-germany.html;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
67;14/08/2019;?;Unnamed Organization in the Energy Space;Researchers from Cofense discover a highly targeted phishing campaign, bypassing a Microsoft email gateway using documents shared via Google Drive.;Targeted Attack;Not Found;Not Found;N/A;https://securityaffairs.co/wordpress/90020/malware/danabot-banking-trojan-hit-germany.html;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
68;14/08/2019;?;Unnamed Organization;Researchers from Varonis reveal the details of Norman, a cryptominer able to leverage multiple evasion mechanisms.;Malware;Not Found;Not Found;N/A;https://securityaffairs.co/wordpress/90020/malware/danabot-banking-trojan-hit-germany.html;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
69;14/08/2019;?;Multiple Organizations;Microsoft security researchers discover an unusual phishing campaign which employs custom 404 error pages to trick potential victims into handing out their Microsoft credentials.;Account Hijacking;Not Found;Not Found;>1;https://securityaffairs.co/wordpress/90020/malware/danabot-banking-trojan-hit-germany.html;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
70;14/08/2019;?;Banking Users in Germany;Researchers from Webroot discover a new campaign of the DanaBot banking trojan targeting Germany.;Malware;Not Found;Not Found;DE;https://securityaffairs.co/wordpress/90020/malware/danabot-banking-trojan-hit-germany.html;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
71;14/08/2019;?;Eye Care Associates Inc.;Eye Care Associates Inc., is the victim of a ransomware attack. The attack occurred approximately two weeks before.;Malware;Not Found;Not Found;US;https://www.databreaches.net/kneo-radio-station-attacked-by-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
72;15/08/2019;?;European Central Bank (ECB);The European Central Bank uncovers a data breach in its Bank newsletter. The attackers had access for months to the contact information of hundreds of financial industry subscribers to the Banks' Integrated Reporting Dictionary (BIRD) website.;Malware;Not Found;Not Found;EU;https://www.databreaches.net/kneo-radio-station-attacked-by-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
73;15/08/2019;?;Multiple Organizations;Researchers from Avanan discover a new phishing campaign using Microsoft voicemail notifications as baits to trick targets into opening malicious HTML attachments.;Account Hijacking;Not Found;Not Found;>1;https://www.databreaches.net/kneo-radio-station-attacked-by-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
74;15/08/2019;?;Multiple Organizations;Researchers from Trend Micro discover new Remcos RAT campaign delivering a previously unknown variant featuring new obfuscation and anti-debugging techniques.;Targeted Attack;Not Found;Not Found;>1;https://www.databreaches.net/kneo-radio-station-attacked-by-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
75;15/08/2019;?;San Dieguito Union High School District;The San Dieguito Union High School District sends out an email alerting them of a malware attack” on August 9.;Malware;Not Found;Not Found;US;https://www.databreaches.net/kneo-radio-station-attacked-by-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
76;15/08/2019;?;Virginia Gay Hospital;Virginia Gay Hospital notifies patients after discovering a compromised employee email account.;Account Hijacking;Not Found;Not Found;US;https://www.databreaches.net/kneo-radio-station-attacked-by-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
77;15/08/2019;?;NCH Healthcare System;NCH Healthcare System discloses a phishing attack to some employees' email accounts.;Account Hijacking;Not Found;Not Found;US;https://www.databreaches.net/kneo-radio-station-attacked-by-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
78;15/08/2019;?;KNEO Radio Station;KNEO radio station is hit by a ransomware attack.;Malware;Not Found;Not Found;US;https://www.databreaches.net/kneo-radio-station-attacked-by-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
1;29/01/2019;?;Vulnerable Ubiquiti Networks devices;Jim Troutman, consultant and director of the Northern New England Neutral Internet Exchange (NNENIX), reveals that threat actors are targeting nearly 500,000 Ubiquiti devices exposed online via a discovery service accessible on UDP port 10001.;Ubiquiti Networks devices vulnerability;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/power-company-has-security-breach-due-to-downloaded-game/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
2;31/01/2019;?;Metro Bank;Metro Bank falls victim of an SS7 attack.;SS7 Attack;Not Found;Not Found;UK;https://www.bleepingcomputer.com/news/security/power-company-has-security-breach-due-to-downloaded-game/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
3;31/01/2019;?;Multiple Industries;Researchers from GreatHorn discover a widespread phishing campaign, targeting executives across a number of industries with messages pretending to be from the CEO, and asking to reschedule a board meeting.;Account Hijacking;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/power-company-has-security-breach-due-to-downloaded-game/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
4;31/01/2019;?;Centinela Valley Union High School District ;Centinela Valley Union High School District notifies employees of a W-2 phishing incident.;Account Hijacking;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/power-company-has-security-breach-due-to-downloaded-game/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
5;01/02/2019;?;Huddle House;Fast food restaurant chain Huddle House discloses that they were affected by a data breach in the point of sale system at some locations that allowed attackers to steal payment information.;PoS Malware;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/power-company-has-security-breach-due-to-downloaded-game/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
6;01/02/2019;OceanLotus;Targets in Vietnam;Researchers from Palo Alto Networks' Unit 42 discover a new campaign carried out by the Vietnamese APT OceanLotus using a new Kerrdown downloader.;Targeted Attack;Not Found;Not Found;VN;https://www.bleepingcomputer.com/news/security/power-company-has-security-breach-due-to-downloaded-game/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
7;01/02/2019;?;Reproductive Medicine and Infertility Associates;Reproductive Medicine and Infertility Associates announces that it was the target of a malware attack in December that may have exposed the personal information of its clients.;Malware;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/power-company-has-security-breach-due-to-downloaded-game/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
8;02/02/2019;?;Olympia Financial Group Inc.;Olympia Financial Group Inc. announces that it was subject to a ransomware cyber attack on its information technology systems.;Malware;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/power-company-has-security-breach-due-to-downloaded-game/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
9;02/02/2019;?;Single Individuals;A new sextortion scam emerges, stating that the popular adult site Xvideos.com was hacked and recorded a visitor through their webcam. The scam emails states that this script was able to connect back to the visitors computer to steal their data.;Spam;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/power-company-has-security-breach-due-to-downloaded-game/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
10;04/02/2019;?;Eskom Group;South African energy supplier Eskom Group is hit with a double security breach consisting of an unsecured database containing customer information and a corporate computer infected with the Azorult information-stealing Trojan.;Malware;Not Found;Not Found;ZA;https://www.bleepingcomputer.com/news/security/power-company-has-security-breach-due-to-downloaded-game/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
11;04/02/2019;?;pro-Tibetan supporters;Researchers from Cisco Talos uncover a targeted attack against pro-Tibetan supporters, targeting the Central Tibetan Administration (CTA) mailing list, and leveraging the ExileRat remote access Trojan through malicious PowerPoint attachments.;Targeted Attack;Not Found;Not Found;;https://www.databreaches.net/sc-roper-st-francis-notifying-patients-after-employees-fall-for-phishing-attack/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
12;04/02/2019;?;Vulnerable Linux Distribtions and macOS;Researchers from Check Point discover a malware campaign distributing a new Backdoor Trojan named SpeakUp, targeting servers running six different Linux distributions and macOS, and distributing miners.;Malware;Not Found;Not Found;>1;https://www.databreaches.net/sc-roper-st-francis-notifying-patients-after-employees-fall-for-phishing-attack/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
13;04/02/2019;China?;Visma;Norwegian software firm Visma reveals to be among the victims of the Cloudhopper campaign allegedly orchestrated by Chinese state-sponsored actors.;Targeted Attack;Not Found;Not Found;NO;https://www.databreaches.net/sc-roper-st-francis-notifying-patients-after-employees-fall-for-phishing-attack/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
14;04/02/2019;?;Single Individuals;The Media Trust reveals a large-scale malvertising campaign, targeting premium publishers with the goal of attacking the millions of customers who visit 49 of the Alexa 500 premium publisher sites.;Malvertising;Not Found;Not Found;>1;https://www.databreaches.net/sc-roper-st-francis-notifying-patients-after-employees-fall-for-phishing-attack/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
15;04/02/2019;?;UK Members of Parliament;MPs are targeted by a new phishing campaign after a government whip’s accounts are hacked.;Account Hijacking;Not Found;Not Found;UK;https://www.databreaches.net/sc-roper-st-francis-notifying-patients-after-employees-fall-for-phishing-attack/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
16;04/02/2019;?;Single Individuals;Researchers from Malwarebytes discover fake ebooks on the Kindle store, apparently related to John Wick, but instead riddled with malicious links.;Spam;Not Found;Not Found;>1;https://www.databreaches.net/sc-roper-st-francis-notifying-patients-after-employees-fall-for-phishing-attack/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
17;04/02/2019;?;Mount Zion School District;Mount Zion School District is hit by a ransomware.;Malware;Not Found;Not Found;US;https://www.databreaches.net/sc-roper-st-francis-notifying-patients-after-employees-fall-for-phishing-attack/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
18;04/02/2019;?;Pellissippi State Community College;More than 200 current and former students of Pellissippi State Community College could be in danger of identity theft because an unauthorized user had access to their personal information.;Unknown;Not Found;Not Found;US;https://www.databreaches.net/sc-roper-st-francis-notifying-patients-after-employees-fall-for-phishing-attack/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
19;04/02/2019;?;Crosby ISD;Crosby ISD officials notified parents and staff that a ransomware virus has infiltrated the school district’s IT system.;Malware;Not Found;Not Found;US;https://www.databreaches.net/sc-roper-st-francis-notifying-patients-after-employees-fall-for-phishing-attack/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
20;04/02/2019;?;Roper St. Francis Healthcare;Roper St. Francis Healthcare notifies patients after employees fall for phishing attack back in November 2018.;Account Hijacking;Not Found;Not Found;US;https://www.databreaches.net/sc-roper-st-francis-notifying-patients-after-employees-fall-for-phishing-attack/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
21;05/02/2019;?;Single Individuals;Researchers from Akamai discover a new phishing campaign using Google Translate as a camouflage.;Account Hijacking;Not Found;Not Found;>1;https://www.zdnet.com/article/now-this-android-spyware-poses-as-a-privacy-tool-to-trick-you-into-downloading/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
22;05/02/2019;?;Single Individuals;Hackers compromise the GitHub account of the Denarius cryptocurrency project lead and backdoor the Windows client with the AZORult infostealer malware. ;Malware;Not Found;Not Found;>1;https://www.zdnet.com/article/now-this-android-spyware-poses-as-a-privacy-tool-to-trick-you-into-downloading/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
23;05/02/2019;Outlaw;Vulnerable Linux Systems;Researchers from Jask reveal an active campaign carried out by the Outlaw group, using the Shellbot trojan, and targeting Linux systems to mine cryptocurrency.;Malware;Not Found;Not Found;>1;https://www.zdnet.com/article/now-this-android-spyware-poses-as-a-privacy-tool-to-trick-you-into-downloading/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
24;05/02/2019;?;Single Individuals;"Researchers from Agari reveal a new campaign where Cyber-criminals are taking advantage of the ""dot accounts"" feature in Gmail to escalate their scam operations more efficiently.";Account Hijacking;Not Found;Not Found;>1;https://www.zdnet.com/article/now-this-android-spyware-poses-as-a-privacy-tool-to-trick-you-into-downloading/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
25;05/02/2019;?;North American banking customers;Researchers from Blue Hexagon reveal a new phishing campaign targeting North American banking customers with malicious Excel documents designed to infect victims with a new variant of the information-stealing TrickBot banking trojan.;Malware;Not Found;Not Found;US;https://www.zdnet.com/article/now-this-android-spyware-poses-as-a-privacy-tool-to-trick-you-into-downloading/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
26;05/02/2019;?;The Bayside Covenant Church;The Bayside Covenant Church reports that for three months last year (from August 3,to October 20), unauthorized personnel accessed some employee information.;Account Hijacking;Not Found;Not Found;US;https://www.zdnet.com/article/now-this-android-spyware-poses-as-a-privacy-tool-to-trick-you-into-downloading/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
27;06/02/2019;?;Nokia owners in India;"Nokia owners in India are the targets of a ""smsishing"" campaign, dubbed ""Lucky Draw"".";Account Hijacking;Not Found;Not Found;IN;https://www.zdnet.com/article/now-this-android-spyware-poses-as-a-privacy-tool-to-trick-you-into-downloading/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
28;07/02/2019;?;Bernard Matthews;"A suspected cyber-attack ""potentially compromised"" the bank account details of 200 workers at Bernard Matthews. The attack occurred on January 22.";Unknown;Not Found;Not Found;UK;https://www.zdnet.com/article/now-this-android-spyware-poses-as-a-privacy-tool-to-trick-you-into-downloading/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
29;07/02/2019;?;Single Individuals in Italy;Researchers at Yoroi ZLab – Cybaze uncover a new wave of Ursnif attacks using a variant that implements an exotic process injection technique called AtomBombing.;Malware;Not Found;Not Found;IT;https://www.zdnet.com/article/now-this-android-spyware-poses-as-a-privacy-tool-to-trick-you-into-downloading/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
30;07/02/2019;?;Android Users;Researchers from Bitdefender discover a new wave of infections with the Triuot malware, hidden in a phony version of Psiphon, a privacy tool designed to help users bypass censorship on the internet.;Malware;Not Found;Not Found;>1;https://www.zdnet.com/article/now-this-android-spyware-poses-as-a-privacy-tool-to-trick-you-into-downloading/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
31;07/02/2019;?;iOS Users;Researchers from Google reveal to have detected attacks against iPhone users using two iOS vulnerabilities (CVE-2019-7286 and CVE-2019-7287),  before Apple had a chance to release iOS 12.1.4.;iOS vulnerabilities;Not Found;Not Found;>1;https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
32;07/02/2019;?;Trakt;Movie and TV-tracking service Trakt notifies its subscribers of a breach occurred in 2014, carried out using a PHP exploit.;Malicious Script;Not Found;Not Found;US;https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
33;07/02/2019;?;EyeSouth Partners;EyeSouth Partners notifies 24,000 patients after an employee email account is hacked.;Account Hijacking;Not Found;Not Found;US;https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
34;08/02/2019;?;Australian Parliament;Authorities in Australia say they are investigating an attempt to hack into its parliament's computer network. There is no evidence that information has been accessed or stolen. The hack likely came from a foreign state.;Targeted Attack;Not Found;Not Found;AU;https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
35;08/02/2019;?;Italian Individuals;Researchers from Bromium discover a malware distribution campaign, targeting victims in Italy, using a Super Mario image to download malware like the Ursnif trojan.;Malware;Not Found;Not Found;IT;https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
36;08/02/2019;?;Linux Systems;Researchers from Trend Micro discover a new Linux coinminer, able to also kill other malicious program in the same system.;Malware;Not Found;Not Found;>1;https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
37;09/02/2019;?;South Canterbury Property Investors’ Association (SCPIA);The South Canterbury Property Investors’ Association (SCPIA) database is hacked and the blacklist of tenant’s criminal convictions is leaked online.;Unknown;Not Found;Not Found;NZ;https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
38;09/02/2019;?;Pawnee County Memorial Hospital;Pawnee County Memorial Hospital in Nebraska notifies 7,038 patients of a malware incident affecting protected health information. The attack happened on November 29, 2018.;Malware;Not Found;Not Found;US;https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
39;09/02/2019;?;Pharmaca ;Pharmaca notifies customers of payment card breach affecting several retail locations. The incident occurred between July 19, and December 12, 2018.;PoS Malware;Not Found;Not Found;US;https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
40;11/02/2019;Gnosticplayers;Multiple Targets;617 million accounts stolen from 16 websites are on sale. Victims include: Dubsmash, MyFitnessPal, MyHeritage, ShareThis, HauteLook, Animoto, EyeEm, 8fit, Whitepages, Fotolog, 500px, Armor Games, BookMate, CoffeeMeetsBagel, Artsy, DataCamp.;Unknown;Not Found;Not Found;>1;https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
41;11/02/2019;?;Multiple Targets;Researchers from Menlo Security observe a new Emotet variant in the wild with the added ability to hide from anti-malware software by embedding malicious macros inside XML files disguised as Word documents.;Malware;Not Found;Not Found;>1;https://www.zdnet.com/article/data-breach-confirmed-by-500px-with-partial-user-data-hit/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
42;11/02/2019;?;Mac Users;Researchers from Trend Micro discover a malicious Windows info stealer, developed with the Mono framework, running on Mac.;Malware;Not Found;Not Found;>1;https://www.zdnet.com/article/data-breach-confirmed-by-500px-with-partial-user-data-hit/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
43;11/02/2019;?;VFEmail;The U.S. servers of privacy-focused e-mail provider VFEmail is hacked on February 11 and all the data is destroyed, on both the main and the backup systems.;Unknown;Not Found;Not Found;US;https://www.zdnet.com/article/data-breach-confirmed-by-500px-with-partial-user-data-hit/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
44;11/02/2019;?;Android Users;Researchers from ESET discover the first example of malicious Cryptocurrency Clipboard Hijacker on Google Play, in disguise of a benign app called MetaMask. The malware is dubbed Android/Clipper.C.;Malware;Not Found;Not Found;>1;https://www.zdnet.com/article/data-breach-confirmed-by-500px-with-partial-user-data-hit/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
45;12/02/2019;?;OkCupid;Users of the OkCupid dating app are the victims of a credential stuffing attack.;Credential Stuffing;Not Found;Not Found;US;https://www.zdnet.com/article/data-breach-confirmed-by-500px-with-partial-user-data-hit/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
46;12/02/2019;?;Dunkin' Donuts;Dunkin' Donuts announces that it was the victim of a credential stuffing attack during which hackers gained access to customer accounts.;Credential Stuffing;Not Found;Not Found;US;https://www.zdnet.com/article/data-breach-confirmed-by-500px-with-partial-user-data-hit/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
47;12/02/2019;?;Mac Users;Researchers at Carbon Black discover a new strain of the Shlayer malware that targets MacOS versions from 10.10.5 up to 10.14.3. The malware poses as an Adobe Flash update distributed through fake websites or compromised legitimate domains.;Malware;Not Found;Not Found;>1;https://www.zdnet.com/article/data-breach-confirmed-by-500px-with-partial-user-data-hit/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
48;13/02/2019;?;Single Individuals;Researchers from Trend Micro discover a new version of the Trickbot banking Trojan capable of stealing application credentials.;Malware;Not Found;Not Found;>1;https://www.zdnet.com/article/data-breach-confirmed-by-500px-with-partial-user-data-hit/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
49;13/02/2019;?;Bank of Valletta;Bank of Valletta shuts down all of its operations on Wednesday after hackers broke into its systems and shifted funds overseas. ;Targeted Attack;Not Found;Not Found;MT;https://www.zdnet.com/article/data-breach-confirmed-by-500px-with-partial-user-data-hit/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
50;13/02/2019;?;500px;"Users of the photography site 500px are forced to reset their passwords, following a breach where an attacker was able to take ""partial user data"" from July 5 last year.";Unknown;Not Found;Not Found;CA;https://www.zdnet.com/article/data-breach-confirmed-by-500px-with-partial-user-data-hit/;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
51;13/02/2019;?;Firms member of the Financial Industry Regulatory Authority (FINRA);The Financial Industry Regulatory Authority (FINRA) issues an information notice to brokerage firms regarding an ongoing phishing attack which currently targets member firms with malicious spam e-mails.;Account Hijacking;Not Found;Not Found;US;https://www.darkreading.com/threat-intelligence/hackers-found-phishing-for-facebook-credentials/d/d-id/1333896;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
52;13/02/2019;?;Mac Users;A new variant of the multi-stage Shlayer malware known to target macOS users has been observed in the wild, now being capable to escalate privileges to disable the Gatekeeper protection mechanism to run unsigned second stage payloads.;Malware;Not Found;Not Found;>1;https://www.darkreading.com/threat-intelligence/hackers-found-phishing-for-facebook-credentials/d/d-id/1333896;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
53;13/02/2019;?;Single Individuals;Researchers from Cybereason discover  new Astaroth Trojan campaign targeting Brazil and European countries, exploiting the Avast antivirus to steal information and load malicious modules.;Malware;Not Found;Not Found;>1;https://www.darkreading.com/threat-intelligence/hackers-found-phishing-for-facebook-credentials/d/d-id/1333896;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
54;13/02/2019;?;Vulnerable WordPress websites;Researchers from Defiant discover a wave of attacks aiming to exploit a vulnerable WordPress plugin (WP Cost Estimation & Payment Forms Builder).;Vulnerable WordPress plugin;Not Found;Not Found;>1;https://www.darkreading.com/threat-intelligence/hackers-found-phishing-for-facebook-credentials/d/d-id/1333896;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
55;13/02/2019;?;Image-I-Nation Technologies, Inc,;Image-I-Nation Technologies, Inc, a technology partner of the three big credit reporting agencies, is the victim of a supply-chain attack. The incident was discovered on December 20, and occurred between November 1-15, 2018.;Unknown;Not Found;Not Found;US;https://www.darkreading.com/threat-intelligence/hackers-found-phishing-for-facebook-credentials/d/d-id/1333896;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
56;13/02/2019;?;Single Individuals;Email filtering company Mailguard warns about an active phishing campaign emanating from compromised email accounts hosted on Optus' optusnet.com.au domain.;Account Hijacking;Not Found;Not Found;AU;https://www.darkreading.com/threat-intelligence/hackers-found-phishing-for-facebook-credentials/d/d-id/1333896;Paolo Passeri					;2019-03-12T08:03:57+00:00;22,117
